cc,samples,min_rtt_ms,mean_rtt_ms,p99_rtt_ms,max_rtt_ms,inflation,mean_thr_mbps
BBR,600,40.069,43.028863333333334,74.48677,82.901,1.0738691590339997,93.23519861737391
CUBIC,600,40.728,120.26130833333333,141.41755,141.78,2.952791895829241,95.33295942928225
RENO,600,40.75,102.90298666666666,134.28817,140.761,2.5252266666666667,95.50741781718396
